rank,name,typ,wsk,ind_01,ind_02,ind_03,ind_04,ind_05,ind_06,ind_07,ind_08,ind_09,ind_10,ind_11,ind_12,ind_13,ind_14,ind_15,ind_16,ind_17,ind_18,ind_19,ind_20,ind_21,ind_22,ind_23,ind_24,ind_25,ind_26,ind_27,ind_28,ind_29,year,canonical,ind_30,ind_31
55-60,Uniwersytet w Białymstoku,,,7.03,19.47,50.46,43.7,65.47,76.66,37.22,70.33,4.65,18.94,37.91,50.33,23.02,35.94,33.68,28.62,38.83,50.92,57.95,60.34,8.26,26.2,0.0,42.78,0.0,8.88,100.0,15.76,20.34,2025,,8.82,
61-72,Akademia Humanitas w Sosnowcu,,,1.39,3.76,72.48,84.97,52.91,34.77,3.14,0.0,0.0,0.0,50.61,23.86,0.0,70.35,17.58,12.96,27.84,40.16,42.82,16.42,0.0,72.81,75.26,52.17,0.0,76.77,32.32,0.54,0.0,2025,,5.88,
61-72,AWFiS im. Jędrzeja Śniadeckiego w Gdańsku,,,2.09,7.96,47.44,64.66,71.43,33.53,3.59,96.15,0.0,0.0,11.79,48.44,0.0,43.61,75.29,94.74,24.18,33.07,37.18,28.92,0.0,18.12,14.09,84.29,0.0,10.19,20.38,12.85,15.58,2025,,5.88,
61-72,AWF im. Eugeniusza Piaseckiego w Poznaniu,,,2.59,6.02,46.52,56.58,100.0,52.38,3.59,61.54,0.0,0.0,12.22,39.53,39.25,46.49,4.53,50.7,27.11,32.28,43.33,41.56,0.0,6.36,0.0,54.56,0.0,1.99,63.68,42.51,24.19,2025,,2.94,
61-72,AWF Józefa Piłsudskiego w Warszawie,,,2.24,8.3,47.19,67.78,71.43,32.79,3.59,67.39,0.0,0.0,12.1,82.36,0.0,40.59,44.68,58.46,33.33,37.27,26.67,34.79,0.0,9.81,12.75,39.69,0.0,0.0,100.0,20.1,58.93,2025,,5.88,
61-72,Politechnika Koszalińska,,,2.95,7.95,65.22,58.53,60.49,52.29,12.11,76.92,34.73,0.0,50.84,64.9,12.53,16.31,11.29,40.69,24.91,32.81,35.38,65.19,3.31,21.44,0.9,54.84,100.0,10.6,35.76,1.36,25.44,2025,Politechnika Koszalinska,5.88,
61-72,Politechnika Rzeszowska im. Ignacego Łukasiewicza,,,8.06,16.52,66.12,48.99,59.02,54.58,30.49,44.7,35.32,21.84,61.15,60.71,19.15,43.48,31.27,38.54,27.84,35.43,36.92,42.13,5.79,5.68,0.61,39.55,0.0,6.46,93.91,12.94,20.92,2025,Politechnika Rzeszowska,5.88,
61-72,Politechnika Świętokrzyska w Kielcach,,,2.17,8.55,65.12,43.66,64.97,46.13,14.35,94.44,22.29,0.0,49.98,61.27,0.0,43.31,51.24,54.28,17.95,26.25,19.23,54.9,3.31,32.61,14.56,33.94,0.0,6.08,76.96,5.78,24.36,2025,Politechnika Swietokrzyska,14.71,
61-72,Uniwersytet Jana Długosza w Częstochowie,,,1.99,8.91,47.71,17.94,64.79,63.96,25.11,40.69,7.54,27.68,39.17,53.8,19.41,48.1,26.99,24.83,24.54,39.9,42.31,46.65,0.0,19.43,1.18,61.43,100.0,10.46,100.0,5.17,38.14,2025,,2.94,
61-72,Uniwersytet Morski w Gdyni,,,3.37,10.12,69.76,50.08,54.36,43.3,11.66,39.71,3.5,0.0,51.36,95.9,19.49,26.06,21.06,36.49,23.44,28.35,50.0,45.6,3.31,15.7,0.0,24.82,0.0,3.77,21.38,16.15,16.76,2025,Uniwersytet Morski w Gdyni,5.88,
61-72,Uniwersytet Przyrodniczy w Lublinie,,,10.85,16.14,48.09,15.51,65.02,94.98,22.42,28.38,15.24,0.0,69.98,56.84,6.08,53.05,39.03,54.64,27.11,32.55,51.03,73.37,9.92,15.65,3.93,38.57,0.0,0.63,100.0,5.08,28.24,2025,,8.82,
61-72,Uniwersytet Rzeszowski,,,7.86,17.5,54.39,32.31,64.15,64.21,61.43,27.88,10.33,0.0,25.37,70.21,13.07,43.57,38.69,51.2,27.47,34.38,48.46,51.42,0.0,9.01,3.68,43.2,0.0,6.81,55.8,7.55,15.82,2025,,11.76,
61-72,Uniwersytet WSB Merito w Poznaniu,,,1.17,6.5,70.0,75.06,68.93,15.0,5.38,0.0,0.0,0.0,51.14,48.35,18.69,65.17,0.0,39.74,41.03,48.29,56.15,6.18,11.57,21.43,6.04,36.19,0.0,1.35,60.61,2.33,2.01,2025,,41.18,
73-82,Akademia Kultury Fizycznej im. Bronisława Czecha w Krakowie,,,2.47,8.08,41.79,49.49,71.43,31.43,3.59,72.09,1.57,0.0,22.6,38.19,0.0,38.4,86.09,86.55,20.51,29.13,32.82,41.51,0.0,5.76,0.0,37.59,0.0,1.44,64.98,17.14,12.85,2025,,2.94,
73-82,Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej w Warszawie,,,1.76,6.17,55.04,77.04,56.89,49.84,8.97,27.5,0.0,0.0,52.88,62.29,0.0,42.11,39.7,14.01,30.4,29.13,51.28,50.45,1.65,6.12,0.0,42.64,0.0,4.92,8.62,10.05,10.83,2025,,5.88,
73-82,AWF im. Polskich Olimpijczyków we Wrocławiu,,,2.69,8.71,45.36,51.71,71.43,41.71,3.59,41.67,0.0,0.0,7.71,42.25,0.0,48.61,47.33,91.65,25.64,29.4,33.08,46.57,0.0,10.52,0.0,49.79,0.0,1.72,82.4,12.81,5.69,2025,,2.94,
73-82,Politechnika Morska w Szczecinie,,,1.74,7.48,62.69,30.46,61.43,29.27,6.73,36.11,4.95,0.0,44.9,37.58,31.08,25.71,44.89,23.78,27.11,39.37,47.69,35.01,8.26,74.72,18.06,29.87,0.0,3.21,43.37,8.03,2.05,2025,Politechnika Morska w Szczecinie,8.82,
73-82,Uniwersytet Dolnośląski DSW we Wrocławiu,,,2.11,5.78,58.54,67.64,71.43,30.53,5.83,0.0,0.0,0.0,25.52,76.57,0.0,79.31,0.0,19.13,19.78,26.25,68.97,8.49,0.0,24.92,4.57,52.88,0.0,9.52,76.19,6.54,5.34,2025,,8.82,
73-82,Uniwersytet Ignatianum w Krakowie,,,3.93,6.27,49.26,47.92,66.44,52.46,11.21,84.21,0.0,0.0,30.66,66.53,22.51,36.07,33.57,12.32,20.88,20.47,44.87,41.53,6.61,5.99,0.0,18.79,0.0,10.91,72.73,12.31,16.03,2025,,2.94,
73-82,Uniwersytet Jana Kochanowskiego w Kielcach,,,3.53,11.4,52.96,36.32,56.98,65.47,45.74,42.22,5.65,0.0,34.19,45.89,26.71,40.24,27.16,32.66,23.44,31.23,37.95,55.98,3.31,12.84,6.09,42.36,0.0,9.1,42.16,4.32,17.88,2025,,11.76,
73-82,Uniwersytet Kazimierza Wielkiego w Bydgoszczy,,,3.83,10.31,52.86,52.06,57.54,62.45,36.77,46.84,3.66,0.0,55.46,50.93,6.31,39.19,27.9,25.38,19.78,33.6,36.92,52.5,0.0,18.54,0.0,43.9,0.0,12.99,27.27,7.21,30.8,2025,,5.88,
73-82,Uniwersytet Papieski Jana Pawła II w Krakowie,,,4.61,5.28,51.64,64.08,64.52,87.12,17.04,47.22,4.08,0.0,5.28,63.34,0.0,57.11,44.27,7.81,16.12,21.78,29.74,62.63,6.61,16.8,3.55,16.41,0.0,1.59,7.97,12.15,18.22,2025,,5.88,
73-82,Uniwersytet Pomorski w Słupsku,,,1.33,5.13,64.52,63.91,55.81,42.21,13.0,42.03,0.0,0.0,57.5,44.6,0.0,31.47,19.92,19.05,24.54,32.28,37.95,46.92,0.0,86.48,0.45,46.7,0.0,8.46,22.96,6.46,84.18,2025,,8.82,
83-92,Akademia Humanistyczno-Ekonomiczna w Łodzi,,,1.41,1.0,90.88,87.94,57.14,11.72,1.79,72.73,0.0,0.0,10.25,14.38,0.0,47.96,0.0,6.97,21.61,19.69,5.38,12.94,0.0,18.17,4.4,31.14,0.0,10.53,56.84,6.47,10.4,2025,,11.76,
83-92,Akademia Katolicka w Warszawie,,,2.62,1.44,56.9,90.5,57.14,47.86,3.59,46.15,0.0,0.0,5.01,24.6,0.0,29.62,0.0,5.91,8.06,22.83,15.13,49.12,6.61,35.08,0.0,24.82,0.0,0.0,21.82,0.0,0.0,2025,,5.88,
83-92,Chrześcijańska Akademia Teologiczna w Warszawie,,,0.65,3.61,57.25,79.06,63.84,99.08,5.83,60.87,0.0,0.0,0.0,7.3,0.0,5.59,8.85,0.0,0.0,0.0,0.0,85.17,0.0,49.61,0.0,19.21,0.0,0.0,68.09,10.86,10.18,2025,,2.94,
83-92,Lubelska Akademia WSEI,,,1.15,2.41,85.56,76.38,41.36,31.64,1.79,15.0,12.77,0.0,42.8,20.8,0.0,50.35,0.0,32.7,19.78,33.6,17.44,8.74,0.0,75.32,42.44,45.86,0.0,15.63,81.25,4.65,7.4,2025,,17.65,
83-92,Międzynarodowa Wyższa Szkoła Logistyki i Transportu we Wrocławiu,,,0.33,3.15,72.81,93.12,57.14,46.02,0.9,0.0,0.0,0.0,40.2,44.08,0.0,15.74,0.0,14.93,16.48,19.95,0.0,10.15,0.0,100.0,47.31,30.01,0.0,36.36,100.0,10.0,6.7,2025,,14.71,
83-92,Uniwersytet Andrzeja Frycza Modrzewskiego w Krakowie,,,2.63,3.38,62.39,60.2,53.53,39.67,12.11,0.0,0.0,0.0,13.92,23.57,0.0,79.26,17.71,33.67,23.81,24.15,23.08,28.26,6.61,59.53,10.8,37.73,0.0,7.12,46.82,6.74,9.96,2025,,5.88,
83-92,Uniwersytet Bielsko-Bialski,,,0.78,7.56,69.82,66.91,58.22,50.96,14.35,34.67,0.0,0.0,54.02,40.2,0.0,30.77,7.08,30.3,22.71,37.27,32.56,38.89,0.0,7.09,0.0,52.17,0.0,14.77,22.82,7.36,11.65,2025,Uniwersytet Bielsko-Bialski,2.94,
83-92,Uniwersytet Komisji Edukacji Narodowej w Krakowie,,,2.74,4.44,53.45,51.3,60.03,56.47,44.84,64.54,3.17,0.0,35.53,58.97,6.95,38.68,24.38,16.12,25.64,29.66,45.38,29.21,6.61,11.2,0.0,46.98,0.0,13.33,61.33,12.21,12.69,2025,,8.82,
83-92,Uniwersytet Radomski im. Kazimierza Pułaskiego,,,0.38,7.61,61.1,49.69,57.14,59.03,17.49,0.0,4.95,0.0,33.41,44.47,0.0,26.58,12.7,28.87,21.61,33.07,28.72,38.97,0.0,38.4,0.0,56.38,0.0,8.14,100.0,4.14,12.4,2025,Uniwersytet Radomski,5.88,
83-92,Uniwersytet w Siedlcach,,,3.17,5.59,57.36,37.36,53.63,72.78,22.42,29.32,4.07,29.88,39.31,52.92,5.61,23.63,11.6,27.49,19.05,27.82,24.36,57.04,0.0,18.35,0.0,35.62,0.0,9.73,100.0,7.53,23.8,2025,,8.82,
92+,Akademia Górnośląska im. Wojciecha Korfantego w Katowicach,,,1.6,3.9,63.54,53.14,57.14,30.61,2.24,0.0,0.0,0.0,25.06,14.06,0.0,42.64,19.28,0.61,5.13,22.83,0.0,18.19,0.0,19.86,15.03,84.15,0.0,9.3,100.0,11.68,13.51,2025,,8.82,
92+,Akademia im. Jakuba z Paradyża w Gorzowie Wielkopolskim,,,0.83,4.45,66.85,55.77,49.36,50.38,2.69,44.44,25.15,0.0,0.0,36.65,0.0,11.21,0.0,0.0,0.0,0.0,0.0,64.09,0.0,27.68,0.0,0.0,0.0,5.53,86.64,0.0,10.82,2025,,2.94,
92+,Akademia Jagiellońska w Toruniu,,,1.79,1.15,65.83,62.09,57.14,73.63,4.48,0.0,0.0,0.0,0.0,0.0,0.0,11.8,62.25,0.0,0.0,0.0,0.0,40.91,0.0,100.0,0.0,0.0,0.0,96.97,100.0,0.0,7.55,2025,,2.94,
92+,Akademia Kujawsko-Pomorska w Bydgoszczy,,,2.19,4.06,68.95,71.96,57.14,96.42,1.79,0.0,0.0,0.0,0.0,52.11,0.0,9.68,0.0,0.0,0.0,0.0,0.0,35.04,0.0,8.44,0.0,0.0,0.0,88.89,100.0,17.74,30.87,2025,,2.94,
92+,Akademia Śląska w Katowicach,,,1.6,2.22,61.52,35.08,58.36,16.87,6.73,0.0,0.0,0.0,0.0,28.85,0.0,37.57,14.6,0.0,0.0,0.0,0.0,43.63,0.0,25.89,12.14,0.0,0.0,8.0,6.67,3.64,0.0,2025,,8.82,
92+,Uniwersytet Kaliski im. Prezydenta Stanisława Wojciechowskiego,,,0.91,1.84,73.91,29.85,57.14,51.81,6.73,16.92,21.98,0.0,0.0,66.95,0.0,47.11,25.63,0.0,0.0,0.0,0.0,40.23,0.0,13.37,0.0,0.0,0.0,3.15,55.12,2.7,36.71,2025,,2.94,
92+,Uniwersytet WSB Merito w Gdańsku,,,0.71,6.5,63.53,64.32,66.86,29.07,6.73,0.0,0.0,0.0,0.0,47.38,0.0,51.06,0.0,0.0,0.0,0.0,0.0,7.45,11.57,21.67,9.68,0.0,0.0,22.56,45.13,8.17,1.92,2025,,26.47,
92+,Uniwersytet WSB Merito w Toruniu,,,0.84,6.5,68.07,69.7,57.14,16.36,5.83,0.0,0.0,0.0,0.0,43.72,0.0,35.46,0.0,0.0,0.0,0.0,0.0,6.25,0.0,13.41,7.61,0.0,0.0,0.0,20.2,0.36,0.0,2025,,20.59,
92+,Uniwersytet WSB Merito we Wrocławiu,,,1.59,6.5,67.84,66.37,69.14,18.88,6.28,0.0,0.0,0.0,0.0,15.59,0.0,39.01,2.81,0.0,0.0,0.0,0.0,6.6,0.0,37.74,10.59,0.0,0.0,14.51,64.25,6.81,5.67,2025,,8.82,
1=,Uniwersytet Warszawski,P,100.0,83.06,95.74,65.13,74.2,89.51,86.43,86.1,100.0,7.57,44.57,83.94,87.29,100.0,50.05,33.88,46.78,26.4,35.96,63.17,68.01,100.0,28.57,34.63,26.42,100.0,40.46,36.75,46.27,39.26,2026,,100.0,
1=,Uniwersytet Jagielloński w Krakowie,P,99.67,100.0,100.0,63.05,60.72,82.56,81.42,97.76,92.2,7.29,79.66,100.0,79.93,59.41,56.91,54.8,50.59,33.85,41.8,57.81,84.79,58.06,43.52,27.77,33.46,100.0,27.05,35.99,46.67,43.64,2026,,92.04,
3,Politechnika Warszawska,P,92.32,68.63,53.77,84.46,86.85,80.76,60.91,48.43,100.0,26.58,59.98,70.42,62.19,59.79,55.23,44.71,50.99,22.05,41.12,57.37,64.08,91.4,27.79,45.89,21.53,100.0,15.43,15.06,30.67,38.94,2026,Politechnika Warszawska,81.42,
4,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,P,86.13,45.35,56.49,86.48,76.33,77.45,70.75,54.26,100.0,19.44,100.0,88.91,46.02,59.07,49.8,29.72,53.46,25.78,60.0,72.54,70.16,61.29,10.01,17.44,26.81,100.0,20.51,39.16,15.33,43.25,2026,AGH,55.75,
5,Politechnika Gdańska,P,84.95,35.13,46.06,79.2,79.86,97.33,69.6,46.19,100.0,25.57,41.4,76.14,64.72,68.82,57.24,43.02,64.31,31.06,32.58,74.78,50.08,30.11,24.08,49.52,35.23,100.0,21.41,66.95,28.12,33.37,2026,Politechnika Gdanska,46.02,
6,Politechnika Wrocławska,P,79.4,44.99,43.12,84.91,74.91,89.98,56.84,46.64,100.0,22.19,27.22,75.75,50.2,50.95,56.04,48.53,47.66,23.29,28.54,54.69,64.57,31.18,23.89,32.89,25.05,100.0,13.73,51.5,20.67,35.55,2026,Politechnika Wroclawska,57.52,
7,Uniwersytet im. Adama Mickiewicza w Poznaniu,P,77.9,67.69,51.48,59.63,61.21,84.91,95.54,77.13,73.46,6.39,6.45,66.54,63.1,18.57,45.82,30.92,35.28,26.09,29.21,66.07,74.06,59.14,25.41,12.43,28.18,100.0,29.48,31.58,29.26,22.23,2026,,61.95,
8=,Politechnika Łódzka,P,76.12,17.4,26.97,80.68,79.74,90.11,61.53,41.7,86.14,37.05,23.34,47.28,36.62,54.37,44.44,42.94,48.39,22.05,30.56,53.57,66.69,39.78,22.01,65.55,24.66,100.0,12.31,56.11,58.38,75.15,2026,Politechnika Lodzka,37.17,
8=,Politechnika Śląska,P,75.95,27.02,42.29,77.79,71.11,79.84,76.39,40.36,99.83,35.6,19.42,96.19,35.08,45.24,35.94,32.09,55.43,30.43,34.16,66.07,69.84,47.31,31.19,38.25,32.49,100.0,13.95,36.61,16.99,19.11,2026,Politechnika Slaska,40.71,
10=,Politechnika Poznańska,P,74.96,22.17,30.7,80.88,75.17,87.57,61.1,32.29,82.55,41.67,59.66,66.63,32.2,42.64,60.48,57.08,52.05,23.91,32.36,54.69,49.07,38.71,21.06,29.52,27.4,100.0,14.88,74.71,25.99,32.7,2026,Politechnika Poznanska,46.9,
10=,Uniwersytet Medyczny w Białymstoku,P,74.89,22.01,19.67,79.55,66.02,87.03,68.73,10.76,91.13,3.66,60.97,25.93,91.19,39.65,84.6,80.51,74.69,34.47,31.46,50.67,60.49,15.05,28.82,27.73,42.66,0.0,6.5,19.49,2.94,1.15,2026,,44.25,
10=,Uniwersytet Gdański,P,74.62,42.78,33.22,60.37,63.25,72.85,65.52,71.3,87.77,6.89,20.49,82.29,53.3,62.75,57.08,48.6,31.12,25.78,32.13,65.4,58.52,41.94,10.88,31.45,26.42,100.0,20.48,100.0,32.76,34.23,2026,,38.94,
13=,Gdański Uniwersytet Medyczny,P,74.18,16.05,29.27,78.15,72.82,68.17,69.48,10.76,52.45,7.04,58.05,38.58,31.9,27.2,74.05,67.01,60.36,56.83,40.67,51.34,92.78,33.33,38.78,36.54,52.05,100.0,4.16,7.08,17.62,24.35,2026,,54.87,
13=,Szkoła Główna Handlowa w Warszawie,P,74.17,24.64,12.31,100.0,91.12,65.83,70.01,10.31,44.71,0.0,0.0,69.41,69.52,50.65,28.56,32.96,23.71,28.57,29.89,41.07,56.03,63.44,40.12,48.36,20.16,100.0,13.94,18.77,90.75,75.16,2026,,60.18,
15=,Uniwersytet Medyczny w Łodzi,P,73.23,13.8,31.01,84.87,69.77,80.52,55.57,10.76,77.38,6.25,10.29,39.93,99.57,33.62,69.45,62.89,92.84,53.73,44.27,42.63,54.49,12.9,27.87,28.48,67.91,0.0,2.14,18.86,9.2,5.76,2026,,65.49,
15=,Uniwersytet Wrocławski,P,73.18,50.22,36.48,58.08,57.32,78.8,80.31,77.58,79.19,2.34,0.0,37.33,70.37,25.42,44.67,36.74,32.04,34.78,36.4,57.81,73.01,21.51,32.67,30.03,27.01,100.0,20.77,87.97,36.13,35.95,2026,,89.38,
15=,Akademia Leona Koźmińskiego w Warszawie,N,73.0,20.84,17.53,80.45,80.6,73.35,55.24,10.76,60.0,0.0,4.61,56.11,33.55,51.07,44.31,18.96,49.16,36.02,34.16,63.62,19.5,54.84,46.02,79.49,27.79,100.0,43.15,100.0,100.0,87.46,2026,,54.87,
18,Warszawski Uniwersytet Medyczny,P,72.69,22.57,33.76,80.42,61.4,82.29,64.51,10.76,78.08,5.95,38.71,55.19,46.07,29.31,78.77,68.89,84.74,50.31,40.45,42.63,73.73,10.75,27.39,25.54,53.03,0.0,3.41,18.93,22.32,19.74,2026,,69.91,
19,Uniwersytet Mikołaja Kopernika w Toruniu,P,71.74,38.74,42.47,62.95,57.32,77.84,80.07,100.0,62.64,5.71,21.24,65.95,44.19,39.58,50.63,50.74,42.05,25.47,29.21,50.67,77.46,55.91,21.9,12.55,26.22,100.0,14.22,16.75,18.25,25.43,2026,,49.56,
20,Uniwersytet Łódzki,P,70.52,31.1,23.26,61.48,67.46,72.52,74.97,70.85,56.48,12.63,8.23,77.05,64.97,46.13,40.9,46.62,33.24,21.12,33.03,49.78,64.86,32.26,32.15,29.27,20.74,100.0,15.64,67.06,35.9,61.84,2026,,53.1,
21,Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu,P,68.73,19.99,43.87,83.73,40.83,82.29,48.44,10.76,39.84,13.06,7.05,45.09,37.41,24.33,74.22,60.7,86.0,48.45,30.56,55.8,81.79,8.6,47.29,41.68,59.49,0.0,7.31,20.38,17.12,19.84,2026,,56.64,
22=,Uniwersytet Medyczny w Lublinie,P,67.85,12.37,23.67,85.06,69.17,71.81,58.14,10.76,84.84,35.08,38.01,34.32,53.5,26.08,71.4,87.22,83.85,31.06,32.58,40.85,52.74,10.75,34.87,32.61,36.99,0.0,4.03,26.01,1.68,9.07,2026,,44.25,
22=,Uniwersytet Przyrodniczy we Wrocławiu,P,67.77,15.42,13.8,56.25,37.41,78.16,78.33,27.35,55.34,39.52,6.03,67.22,72.06,45.27,71.61,46.95,47.55,26.71,29.21,64.06,82.34,23.66,22.67,20.71,26.42,100.0,6.42,49.64,17.64,45.01,2026,,35.4,
22=,Pomorski Uniwersytet Medyczny w Szczecinie,P,67.77,6.87,17.24,75.46,64.43,85.07,75.66,9.42,51.83,15.81,0.0,22.23,61.99,21.47,69.46,62.3,64.92,65.22,55.28,43.08,69.74,0.0,41.07,42.02,81.41,0.0,3.87,8.51,5.51,4.19,2026,,32.74,
25=,Szkoła Główna Gospodarstwa Wiejskiego w Warszawie,P,66.88,19.76,25.11,65.0,67.82,69.12,77.7,42.15,63.79,9.4,0.0,90.2,52.11,44.97,50.28,34.51,40.95,29.19,31.69,54.02,68.62,27.96,28.31,22.0,31.51,100.0,5.93,43.72,18.01,31.82,2026,,64.6,
25=,Politechnika Krakowska im. Tadeusza Kościuszki,P,66.88,17.13,25.27,71.27,63.47,87.87,49.78,28.7,100.0,22.24,25.72,60.01,49.96,30.11,38.0,48.56,54.39,25.16,36.63,57.37,43.77,24.73,15.68,31.49,28.96,100.0,6.75,28.17,6.56,58.3,2026,Politechnika Krakowska,33.63,
27,Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu,P,65.58,18.49,20.57,80.17,65.49,70.37,74.64,10.76,48.25,1.15,0.0,43.94,31.06,21.75,75.76,75.18,75.48,39.75,35.06,40.85,88.56,12.9,35.6,34.38,42.07,0.0,6.29,15.32,10.26,7.81,2026,,56.64,
28=,Uniwersytet Opolski,P,64.96,8.69,20.25,59.59,47.89,74.48,61.52,46.19,60.0,0.94,0.0,28.54,51.25,22.61,41.71,18.95,36.87,100.0,90.34,38.17,48.32,9.68,38.49,36.18,100.0,100.0,17.09,80.11,10.54,14.27,2026,,37.17,
28=,Polsko-Japońska Akademia Technik Komputerowych w Warszawie,N,64.87,1.66,7.37,97.86,69.62,72.52,20.06,7.17,73.68,0.0,0.0,23.32,35.6,68.93,100.0,56.47,61.41,25.47,26.29,39.06,4.17,6.45,100.0,94.44,19.18,100.0,32.99,43.3,7.79,6.38,2026,PJATK,60.18,
30,Uniwersytet Śląski w Katowicach,P,64.3,26.51,24.63,55.13,43.74,79.62,86.5,80.27,62.41,22.99,7.82,68.76,61.93,32.38,39.21,37.96,33.79,22.05,33.03,54.24,74.15,16.13,17.13,11.74,21.33,100.0,15.23,69.36,25.4,22.47,2026,,34.51,
31=,Śląski Uniwersytet Medyczny w Katowicach,P,63.66,10.94,22.87,84.73,62.03,65.83,54.0,10.76,73.32,11.83,9.48,45.69,34.34,23.32,76.73,70.63,79.17,52.17,38.43,35.04,65.5,21.51,19.76,17.14,55.58,0.0,1.14,9.95,5.06,7.51,2026,,49.56,
31=,Uniwersytet Przyrodniczy w Poznaniu,P,63.32,14.92,26.12,64.82,55.32,80.95,100.0,32.29,34.75,23.02,10.32,74.92,40.04,32.51,63.66,41.6,51.22,27.02,30.79,56.03,100.0,3.23,22.67,19.48,27.2,0.0,4.97,15.45,7.18,12.59,2026,,38.05,
33=,Akademia WSB w Dąbrowie Górniczej,N,62.99,3.1,6.55,73.4,71.82,85.95,55.86,8.97,15.0,0.0,0.0,59.21,78.3,12.64,62.33,35.56,48.14,36.65,40.22,45.31,9.51,33.33,58.63,82.32,28.57,0.0,27.27,52.73,26.45,18.24,2026,,57.52,
33=,Uniwersytet SWPS,N,62.58,19.07,13.44,67.05,57.94,100.0,45.55,18.39,57.98,0.0,0.0,29.29,53.02,75.92,71.71,44.55,46.81,32.92,33.48,60.71,14.85,0.0,27.75,12.64,26.61,100.0,14.95,29.16,12.4,6.95,2026,,69.91,
35,Politechnika Lubelska,P,62.17,7.04,16.12,68.13,61.41,94.33,48.67,21.08,58.39,100.0,19.21,55.81,46.96,17.38,37.43,36.21,54.89,20.5,38.65,38.84,52.45,3.23,41.44,0.53,16.24,0.0,3.19,100.0,20.45,72.8,2026,Politechnika Lubelska,0.0,
36,Zachodniopomorski Uniwersytet Technologiczny w Szczecinie,P,61.46,10.27,16.19,71.96,58.02,74.22,83.8,39.46,43.36,37.47,6.84,66.61,32.02,33.88,46.78,28.93,41.13,26.4,29.89,49.78,90.62,7.53,23.74,0.0,32.09,100.0,4.01,45.21,16.08,60.22,2026,ZUT,10.62,
37,Uczelnia Łazarskiego w Warszawie,N,60.82,2.48,5.68,77.05,75.28,83.44,35.35,11.66,0.0,0.0,0.0,15.62,48.47,34.85,91.89,39.64,47.25,34.16,26.07,35.71,15.21,4.3,93.17,100.0,23.29,0.0,26.19,100.0,17.3,26.56,2026,,37.17,
38,Uniwersytet VIZJA,N,59.55,1.21,8.92,70.95,76.47,69.49,55.95,11.66,0.0,0.0,0.0,66.24,11.13,0.0,73.75,14.71,58.89,63.98,55.51,100.0,5.96,4.3,91.45,64.01,34.83,0.0,100.0,10.31,2.22,6.17,2026,,89.38,
39=,Uniwersytet Ekonomiczny we Wrocławiu,P,58.74,7.51,10.35,77.19,70.06,65.83,67.73,9.42,31.55,0.76,0.0,59.86,66.5,55.06,20.0,17.88,25.91,25.16,36.85,57.14,36.8,37.63,15.76,35.57,20.94,0.0,3.94,100.0,23.89,46.67,2026,,34.51,
39=,Akademia Pożarnicza w Warszawie,P,58.6,2.02,5.02,91.32,100.0,97.88,34.89,7.17,0.0,8.89,0.0,46.95,100.0,63.31,53.9,58.54,27.49,16.15,25.17,34.6,34.34,0.0,0.64,0.0,17.03,0.0,0.0,0.0,0.0,9.46,2026,,0.0,
39=,Uniwersytet Warmińsko-Mazurski w Olsztynie,P,58.31,18.86,29.89,61.99,37.44,71.83,79.28,73.99,44.83,8.2,0.0,82.47,41.89,24.65,40.52,29.95,36.99,34.47,30.79,51.79,68.66,25.81,10.26,6.51,40.12,100.0,7.23,16.0,7.5,12.09,2026,,39.82,
39=,Uniwersytet Marii Curie-Skłodowskiej w Lublinie,P,58.27,24.72,18.48,53.52,40.39,74.95,88.41,66.82,43.51,11.04,9.76,57.86,51.26,17.2,44.74,34.47,28.4,20.19,29.44,49.11,65.07,35.48,43.18,8.57,23.48,0.0,10.93,31.96,14.19,14.52,2026,,46.02,
43=,Politechnika Białostocka,P,58.1,7.74,12.65,66.81,55.71,70.63,61.55,27.8,80.0,11.9,0.0,56.42,28.29,17.09,41.49,40.6,44.75,21.43,28.54,47.54,50.24,25.81,14.17,23.42,22.5,100.0,6.56,100.0,54.69,88.54,2026,Politechnika Bialostocka,20.35,
43=,Uniwersytet Ekonomiczny w Krakowie,P,57.63,8.25,11.77,73.65,72.91,67.51,53.31,12.56,42.86,0.64,0.0,67.26,43.13,17.1,30.68,31.79,17.36,30.43,39.78,55.36,29.7,53.76,25.55,36.87,23.48,0.0,2.66,100.0,34.72,30.13,2026,,49.56,
45,Politechnika Opolska,P,57.58,5.47,18.2,72.58,60.28,72.55,60.87,23.77,99.15,10.17,12.02,47.75,36.66,0.0,38.16,30.32,46.92,31.99,32.58,66.52,56.39,3.23,30.87,4.02,38.36,100.0,15.11,65.49,17.11,33.22,2026,Politechnika Opolska,17.7,
46=,Katolicki Uniwersytet Lubelski Jana Pawła II,P,56.83,15.2,13.74,53.0,32.25,87.31,83.42,45.29,54.5,1.45,0.0,31.93,75.31,0.0,40.49,29.19,28.23,36.65,42.92,37.28,83.27,8.6,31.42,8.28,40.51,0.0,15.09,41.81,27.34,24.93,2026,,26.55,
